"codigo_ibge";"municipio";"uf_sigla";"porte_populacional";"ano_2020";"media_pos";"perfil_mudanca"
"4313375";"NOVA SANTA RITA";"RS";"Pequeno Porte II";"1,38754831036227e+01";"6,79105513656339e+01";"1. Despertados (Efeito Indutor)"
"4313391";"NOVO CABRAIS";"RS";"Pequeno Porte I";"2,80300418282717e+01";"1,10868814016909e+02";"1. Despertados (Efeito Indutor)"
"4313409";"NOVO HAMBURGO";"RS";"Grande Porte";"2,83735107178229e+01";"3,63109504733935e+01";"2. Constantes (Sustentabilidade)"
"4313425";"NOVO MACHADO";"RS";"Pequeno Porte I";"9,84016995810286e+01";"1,99056483076385e+02";"1. Despertados (Efeito Indutor)"
"4313490";"NOVO BARREIRO";"RS";"Pequeno Porte I";"1,02521137051453e+00";"3,76845194239063e+01";"1. Despertados (Efeito Indutor)"
"4313508";"OSORIO";"RS";"Pequeno Porte II";"1,76907732127601e+01";"9,41535845731057e+00";"2. Constantes (Sustentabilidade)"
"4313607";"PAIM FILHO";"RS";"Pequeno Porte I";"2,47512701433230e+01";"0,00000000000000e+00";"4. Efeito Substituição (Retração Local)"
"4313656";"PALMARES DO SUL";"RS";"Pequeno Porte I";"1,17710042225465e+01";"4,84527200516142e-01";"4. Efeito Substituição (Retração Local)"
"4313706";"PALMEIRA DAS MISSOES";"RS";"Pequeno Porte II";"2,98809396326757e+01";"7,76587708027008e+01";"1. Despertados (Efeito Indutor)"
"4313805";"PALMITINHO";"RS";"Pequeno Porte I";"1,18718678533103e+01";"4,17364054766864e+01";"1. Despertados (Efeito Indutor)"
"4313904";"PANAMBI";"RS";"Pequeno Porte II";"5,39822805127141e+01";"6,48624549291473e+01";"2. Constantes (Sustentabilidade)"
"4313953";"PANTANO GRANDE";"RS";"Pequeno Porte I";"1,21457665601723e+01";"1,29412604394095e+01";"2. Constantes (Sustentabilidade)"
"4314001";"PARAI";"RS";"Pequeno Porte I";"7,11503927478121e+01";"9,54146256669599e+01";"1. Despertados (Efeito Indutor)"
"4314027";"PARAISO DO SUL";"RS";"Pequeno Porte I";"6,85158018212421e+01";"9,69487493373165e+01";"1. Despertados (Efeito Indutor)"
"4314035";"PARECI NOVO";"RS";"Pequeno Porte I";"6,25526685162624e+01";"1,36302478636458e+02";"1. Despertados (Efeito Indutor)"
"4314050";"PAROBE";"RS";"Médio Porte";"2,66000820517963e+01";"5,58352210964385e+01";"1. Despertados (Efeito Indutor)"
"4314068";"PASSA SETE";"RS";"Pequeno Porte I";"4,16091714869495e+01";"4,38003996128469e+01";"2. Constantes (Sustentabilidade)"
