"codigo_ibge";"municipio";"uf_sigla";"porte_populacional";"ano_2020";"media_pos";"perfil_mudanca"
"3205010";"SOORETAMA";"ES";"Pequeno Porte II";"0,436304151863429690";"78,68429887990831162";"1. Despertados (Efeito Indutor)"
"3205069";"VENDA NOVA DO IMIGRANTE";"ES";"Pequeno Porte II";"20,006026330389833134";"133,61071672094234941";"1. Despertados (Efeito Indutor)"
"3205101";"VIANA";"ES";"Médio Porte";"8,696936967344383262";"34,78681989303699140";"1. Despertados (Efeito Indutor)"
"3205150";"VILA PAVAO";"ES";"Pequeno Porte I";"18,521108785789500928";"147,64696754811603796";"1. Despertados (Efeito Indutor)"
"3205176";"VILA VALERIO";"ES";"Pequeno Porte I";"14,584065182189450027";"126,65215302147879584";"1. Despertados (Efeito Indutor)"
"3205200";"VILA VELHA";"ES";"Grande Porte";"17,361549805651080192";"4,91794617930894873";"4. Efeito Substituição (Retração Local)"
"3205309";"VITORIA";"ES";"Grande Porte";"41,557268575456710380";"84,28208027419870518";"1. Despertados (Efeito Indutor)"
"3300100";"ANGRA DOS REIS";"RJ";"Grande Porte";"11,284304202394359606";"54,53595103470811978";"1. Despertados (Efeito Indutor)"
"3300159";"APERIBE";"RJ";"Pequeno Porte I";"11,238459842311238290";"181,82846378766080875";"1. Despertados (Efeito Indutor)"
"3300209";"ARARUAMA";"RJ";"Grande Porte";"0,000000000000000000";"0,52773051942238947";"2. Constantes (Sustentabilidade)"
"3300233";"ARMACAO DOS BUZIOS";"RJ";"Pequeno Porte II";"25,655944738701361274";"16,25308155293415169";"2. Constantes (Sustentabilidade)"
"3300258";"ARRAIAL DO CABO";"RJ";"Pequeno Porte II";"0,000000000000000000";"1,39456326155457777";"2. Constantes (Sustentabilidade)"
"3300308";"BARRA DO PIRAI";"RJ";"Médio Porte";"32,017833183170345990";"93,16437498311722720";"1. Despertados (Efeito Indutor)"
"3300407";"BARRA MANSA";"RJ";"Grande Porte";"8,678331272180333400";"5,26248995899544614";"2. Constantes (Sustentabilidade)"
"3300456";"BELFORD ROXO";"RJ";"Grande Porte";"0,000000000000000000";"0,95930921392125024";"2. Constantes (Sustentabilidade)"
"3300506";"BOM JARDIM";"RJ";"Pequeno Porte II";"0,459735171940867160";"21,20979574258094758";"1. Despertados (Efeito Indutor)"
"3300605";"BOM JESUS DO ITABAPOANA";"RJ";"Pequeno Porte II";"15,720760940967405617";"40,63249702420527143";"1. Despertados (Efeito Indutor)"
"3300704";"CABO FRIO";"RJ";"Grande Porte";"0,000000000000000000";"9,03700293573468194";"1. Despertados (Efeito Indutor)"
"3300803";"CACHOEIRAS DE MACACU";"RJ";"Médio Porte";"9,902891475704663549";"0,24657762889891444";"4. Efeito Substituição (Retração Local)"
"3300902";"CAMBUCI";"RJ";"Pequeno Porte I";"0,000000000000000000";"7,58544485999556084";"1. Despertados (Efeito Indutor)"
"3300936";"CARAPEBUS";"RJ";"Pequeno Porte I";"0,951163547709168555";"42,91232940449776834";"1. Despertados (Efeito Indutor)"
"3301009";"CAMPOS DOS GOYTACAZES";"RJ";"Grande Porte";"10,270163471459481386";"21,22323877284920712";"1. Despertados (Efeito Indutor)"
"3301108";"CANTAGALO";"RJ";"Pequeno Porte I";"45,014256439419256139";"39,79324527271413814";"2. Constantes (Sustentabilidade)"
"3301157";"CARDOSO MOREIRA";"RJ";"Pequeno Porte I";"10,690447135600514628";"28,99455934557802195";"1. Despertados (Efeito Indutor)"
"3301207";"CARMO";"RJ";"Pequeno Porte I";"80,469651099024730456";"133,03011399891826727";"1. Despertados (Efeito Indutor)"
"3301405";"CONCEICAO DE MACABU";"RJ";"Pequeno Porte II";"0,000000000000000000";"5,08950206154028795";"1. Despertados (Efeito Indutor)"
"3301504";"CORDEIRO";"RJ";"Pequeno Porte II";"16,361589599872786494";"22,31832565056118511";"2. Constantes (Sustentabilidade)"
"3301603";"DUAS BARRAS";"RJ";"Pequeno Porte I";"45,655185997928420250";"50,19272798487000387";"2. Constantes (Sustentabilidade)"
"3301702";"DUQUE DE CAXIAS";"RJ";"Grande Porte";"0,939776225549137756";"7,06319988706016311";"1. Despertados (Efeito Indutor)"
"3301801";"ENGENHEIRO PAULO DE FRONTIN";"RJ";"Pequeno Porte I";"14,079322285768528289";"1,90362469351983843";"4. Efeito Substituição (Retração Local)"
"3301876";"IGUABA GRANDE";"RJ";"Pequeno Porte II";"5,440273642977296653";"2,47022464291917432";"2. Constantes (Sustentabilidade)"
"3301900";"ITABORAI";"RJ";"Grande Porte";"8,999855643051565934";"82,47938511804994732";"1. Despertados (Efeito Indutor)"
"3302007";"ITAGUAI";"RJ";"Grande Porte";"42,314997761286306854";"94,14446832181137381";"1. Despertados (Efeito Indutor)"
"3302056";"ITALVA";"RJ";"Pequeno Porte I";"51,779331816470993033";"113,02000376296125239";"1. Despertados (Efeito Indutor)"
"3302106";"ITAOCARA";"RJ";"Pequeno Porte II";"16,638662820708582046";"51,19908845117596741";"1. Despertados (Efeito Indutor)"
"3302205";"ITAPERUNA";"RJ";"Grande Porte";"6,736189334830271491";"8,56031769367199757";"2. Constantes (Sustentabilidade)"
"3302254";"ITATIAIA";"RJ";"Pequeno Porte II";"28,788408265062759739";"79,65389923948299611";"1. Despertados (Efeito Indutor)"
"3302270";"JAPERI";"RJ";"Médio Porte";"9,468194190836525692";"30,50164514178847952";"1. Despertados (Efeito Indutor)"
"3302304";"LAJE DO MURIAE";"RJ";"Pequeno Porte I";"24,529074475367906416";"25,06535782331953754";"2. Constantes (Sustentabilidade)"
"3302403";"MACAE";"RJ";"Grande Porte";"60,394569794194538304";"89,67349726313069880";"1. Despertados (Efeito Indutor)"
"3302452";"MACUCO";"RJ";"Pequeno Porte I";"41,221549146122050900";"13,72600792964460403";"4. Efeito Substituição (Retração Local)"
"3302502";"MAGE";"RJ";"Grande Porte";"10,495924170363366557";"103,57199745129665303";"1. Despertados (Efeito Indutor)"
"3302601";"MANGARATIBA";"RJ";"Pequeno Porte II";"10,192659342969692560";"6,56359150748198505";"2. Constantes (Sustentabilidade)"
"3302700";"MARICA";"RJ";"Grande Porte";"0,000000000000000000";"116,91306784200205016";"1. Despertados (Efeito Indutor)"
