Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;DESPESAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I);siconfi-cor_RREO2TotalDespesas;24097934169
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;Legislativa;siconfi-cor_RREO2TotalDespesas;777239240
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;Ação Legislativa;siconfi-cor_RREO2TotalDespesas;429493845
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;Controle Externo;siconfi-cor_RREO2TotalDespesas;345345395
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;FU01 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;2400000
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;Judiciária;siconfi-cor_RREO2TotalDespesas;1451950593
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;Ação Judiciária;siconfi-cor_RREO2TotalDespesas;1355835631
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;FU02 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;96114962
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;Essencial à Justiça;siconfi-cor_RREO2TotalDespesas;1427478269
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;Defesa da Ordem Jurídica;siconfi-cor_RREO2TotalDespesas;645393400
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;Representação Judicial e Extrajudicial;siconfi-cor_RREO2TotalDespesas;138231400
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;FU03 - Administração Geral;siconfi-cor_RREO2TotalDespesas;30170600
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;FU03 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;613682869
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;Administração;siconfi-cor_RREO2TotalDespesas;1545335380
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;FU04 - Administração Geral;siconfi-cor_RREO2TotalDespesas;1116169980
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;Administração Financeira;siconfi-cor_RREO2TotalDespesas;299420100
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;Controle Interno;siconfi-cor_RREO2TotalDespesas;62282100
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;Tecnologia da Informação;siconfi-cor_RREO2TotalDespesas;325600
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;Formação de Recursos Humanos;siconfi-cor_RREO2TotalDespesas;13011800
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;Administração de Concessões;siconfi-cor_RREO2TotalDespesas;1500
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;FU04 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;54124300
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;Segurança Pública;siconfi-cor_RREO2TotalDespesas;2372224300
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;Policiamento;siconfi-cor_RREO2TotalDespesas;1451071200
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;FU06 - Administração Geral;siconfi-cor_RREO2TotalDespesas;858117100
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;FU06 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;63036000
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;Assistência Social;siconfi-cor_RREO2TotalDespesas;672398500
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;Assistência ao Idoso;siconfi-cor_RREO2TotalDespesas;3167800
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;Assistência ao Portador de Deficiência;siconfi-cor_RREO2TotalDespesas;3010000
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;Assistência à Criança e ao Adolescente;siconfi-cor_RREO2TotalDespesas;7949300
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;Assistência Comunitária;siconfi-cor_RREO2TotalDespesas;572110500
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;FU08 - Administração Geral;siconfi-cor_RREO2TotalDespesas;86139200
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;FU08 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;21700
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;Previdência Social;siconfi-cor_RREO2TotalDespesas;4303344600
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;Previdência do Regime Estatutário;siconfi-cor_RREO2TotalDespesas;4303337600
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;Previdência Especial;siconfi-cor_RREO2TotalDespesas;7000
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;Saúde;siconfi-cor_RREO2TotalDespesas;2462622200
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;Atenção Básica;siconfi-cor_RREO2TotalDespesas;158276000
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;Assistência Hospitalar e Ambulatorial;siconfi-cor_RREO2TotalDespesas;1848998000
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;Suporte Profilático e Terapêutico;siconfi-cor_RREO2TotalDespesas;98120000
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;Vigilância Sanitária;siconfi-cor_RREO2TotalDespesas;1781700
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;Vigilância Epidemiológica;siconfi-cor_RREO2TotalDespesas;68489300
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;FU10 - Administração Geral;siconfi-cor_RREO2TotalDespesas;276894200
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;FU10 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;10063000
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;Trabalho;siconfi-cor_RREO2TotalDespesas;24839800
