Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado de Santa Catarina;42;SC;7164788;DOTAÇÃO INICIAL;DESPESAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I);siconfi-cor_RREO2TotalDespesas;26977094262
Governo do Estado de Santa Catarina;42;SC;7164788;DOTAÇÃO INICIAL;Legislativa;siconfi-cor_RREO2TotalDespesas;789455596
Governo do Estado de Santa Catarina;42;SC;7164788;DOTAÇÃO INICIAL;Ação Legislativa;siconfi-cor_RREO2TotalDespesas;94896320
Governo do Estado de Santa Catarina;42;SC;7164788;DOTAÇÃO INICIAL;Controle Externo;siconfi-cor_RREO2TotalDespesas;0
Governo do Estado de Santa Catarina;42;SC;7164788;DOTAÇÃO INICIAL;FU01 - Administração Geral;siconfi-cor_RREO2TotalDespesas;654730276
Governo do Estado de Santa Catarina;42;SC;7164788;DOTAÇÃO INICIAL;FU01 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;39829000
Governo do Estado de Santa Catarina;42;SC;7164788;DOTAÇÃO INICIAL;Judiciária;siconfi-cor_RREO2TotalDespesas;1903170809
Governo do Estado de Santa Catarina;42;SC;7164788;DOTAÇÃO INICIAL;Ação Judiciária;siconfi-cor_RREO2TotalDespesas;91264271
Governo do Estado de Santa Catarina;42;SC;7164788;DOTAÇÃO INICIAL;Defesa do Interesse Público no Processo Judiciário;siconfi-cor_RREO2TotalDespesas;0
Governo do Estado de Santa Catarina;42;SC;7164788;DOTAÇÃO INICIAL;FU02 - Administração Geral;siconfi-cor_RREO2TotalDespesas;1709288749
Governo do Estado de Santa Catarina;42;SC;7164788;DOTAÇÃO INICIAL;FU02 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;102617789
Governo do Estado de Santa Catarina;42;SC;7164788;DOTAÇÃO INICIAL;Essencial à Justiça;siconfi-cor_RREO2TotalDespesas;872622865
Governo do Estado de Santa Catarina;42;SC;7164788;DOTAÇÃO INICIAL;Defesa da Ordem Jurídica;siconfi-cor_RREO2TotalDespesas;597805200
Governo do Estado de Santa Catarina;42;SC;7164788;DOTAÇÃO INICIAL;Representação Judicial e Extrajudicial;siconfi-cor_RREO2TotalDespesas;58907914
