Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;DESPESAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I);siconfi-cor_RREO2TotalDespesas;24290707900
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;Legislativa;siconfi-cor_RREO2TotalDespesas;840227600
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;Ação Legislativa;siconfi-cor_RREO2TotalDespesas;470002200
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;Controle Externo;siconfi-cor_RREO2TotalDespesas;370025400
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;FU01 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;200000
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;Judiciária;siconfi-cor_RREO2TotalDespesas;1492295900
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;Ação Judiciária;siconfi-cor_RREO2TotalDespesas;1392186600
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;FU02 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;100109300
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;Essencial à Justiça;siconfi-cor_RREO2TotalDespesas;1384331800
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;Defesa da Ordem Jurídica;siconfi-cor_RREO2TotalDespesas;690947300
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;Representação Judicial e Extrajudicial;siconfi-cor_RREO2TotalDespesas;160513400
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;DOTAÇÃO INICIAL;FU03 - Administração Geral;siconfi-cor_RREO2TotalDespesas;28250800
