Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado de Santa Catarina;42;SC;7338473;DOTAÇÃO INICIAL;DESPESAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I);siconfi-cor_RREO2TotalDespesas;42082554413
Governo do Estado de Santa Catarina;42;SC;7338473;DOTAÇÃO INICIAL;Legislativa;siconfi-cor_RREO2TotalDespesas;1181223839
Governo do Estado de Santa Catarina;42;SC;7338473;DOTAÇÃO INICIAL;Ação Legislativa;siconfi-cor_RREO2TotalDespesas;138046320
Governo do Estado de Santa Catarina;42;SC;7338473;DOTAÇÃO INICIAL;FU01 - Administração Geral;siconfi-cor_RREO2TotalDespesas;960827519
Governo do Estado de Santa Catarina;42;SC;7338473;DOTAÇÃO INICIAL;FU01 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;82350000
Governo do Estado de Santa Catarina;42;SC;7338473;DOTAÇÃO INICIAL;Judiciária;siconfi-cor_RREO2TotalDespesas;3075975180
Governo do Estado de Santa Catarina;42;SC;7338473;DOTAÇÃO INICIAL;Ação Judiciária;siconfi-cor_RREO2TotalDespesas;101854701
Governo do Estado de Santa Catarina;42;SC;7338473;DOTAÇÃO INICIAL;FU02 - Administração Geral;siconfi-cor_RREO2TotalDespesas;2714866820
Governo do Estado de Santa Catarina;42;SC;7338473;DOTAÇÃO INICIAL;FU02 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;259253659
Governo do Estado de Santa Catarina;42;SC;7338473;DOTAÇÃO INICIAL;Essencial à Justiça;siconfi-cor_RREO2TotalDespesas;1364508615
Governo do Estado de Santa Catarina;42;SC;7338473;DOTAÇÃO INICIAL;Defesa da Ordem Jurídica;siconfi-cor_RREO2TotalDespesas;905054749
Governo do Estado de Santa Catarina;42;SC;7338473;DOTAÇÃO INICIAL;Representação Judicial e Extrajudicial;siconfi-cor_RREO2TotalDespesas;112997661
Governo do Estado de Santa Catarina;42;SC;7338473;DOTAÇÃO INICIAL;FU03 - Administração Geral;siconfi-cor_RREO2TotalDespesas;252626998
Governo do Estado de Santa Catarina;42;SC;7338473;DOTAÇÃO INICIAL;FU03 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;93829207
Governo do Estado de Santa Catarina;42;SC;7338473;DOTAÇÃO INICIAL;Administração;siconfi-cor_RREO2TotalDespesas;2985828219
Governo do Estado de Santa Catarina;42;SC;7338473;DOTAÇÃO INICIAL;FU04 - Administração Geral;siconfi-cor_RREO2TotalDespesas;926497751
Governo do Estado de Santa Catarina;42;SC;7338473;DOTAÇÃO INICIAL;Administração Financeira;siconfi-cor_RREO2TotalDespesas;846425303
Governo do Estado de Santa Catarina;42;SC;7338473;DOTAÇÃO INICIAL;Controle Interno;siconfi-cor_RREO2TotalDespesas;4477000
Governo do Estado de Santa Catarina;42;SC;7338473;DOTAÇÃO INICIAL;Tecnologia da Informação;siconfi-cor_RREO2TotalDespesas;66325869
