Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;DESPESAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I);siconfi-cor_RREO2TotalDespesas;19204208315
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;Legislativa;siconfi-cor_RREO2TotalDespesas;334826777
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;Ação Legislativa;siconfi-cor_RREO2TotalDespesas;48074617
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;Controle Externo;siconfi-cor_RREO2TotalDespesas;127943259
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;FU01 - Administração Geral;siconfi-cor_RREO2TotalDespesas;150551001
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;FU01 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;8257900
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;Judiciária;siconfi-cor_RREO2TotalDespesas;1014700453
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;Ação Judiciária;siconfi-cor_RREO2TotalDespesas;1014700453
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;Essencial à Justiça;siconfi-cor_RREO2TotalDespesas;555289748
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;Defesa da Ordem Jurídica;siconfi-cor_RREO2TotalDespesas;319921885
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;Representação Judicial e Extrajudicial;siconfi-cor_RREO2TotalDespesas;53422714
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;FU03 - Administração Geral;siconfi-cor_RREO2TotalDespesas;181030469
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;FU03 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;914680
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;Administração;siconfi-cor_RREO2TotalDespesas;850572256
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;Planejamento e Orçamento;siconfi-cor_RREO2TotalDespesas;1122426
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;FU04 - Administração Geral;siconfi-cor_RREO2TotalDespesas;684207304
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;Administração Financeira;siconfi-cor_RREO2TotalDespesas;72290127
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;Controle Interno;siconfi-cor_RREO2TotalDespesas;767256
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;Tecnologia da Informação;siconfi-cor_RREO2TotalDespesas;39123608
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;Ordenamento Territorial;siconfi-cor_RREO2TotalDespesas;11000
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;Formação de Recursos Humanos;siconfi-cor_RREO2TotalDespesas;3367027
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;Administração de Concessões;siconfi-cor_RREO2TotalDespesas;23413072
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;Comunicação Social;siconfi-cor_RREO2TotalDespesas;265320
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;FU04 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;26005116
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;Segurança Pública;siconfi-cor_RREO2TotalDespesas;1685731922
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;Policiamento;siconfi-cor_RREO2TotalDespesas;252755193
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;Defesa Civil;siconfi-cor_RREO2TotalDespesas;37656739
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;FU06 - Administração Geral;siconfi-cor_RREO2TotalDespesas;1291924592
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;FU06 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;103395398
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;Assistência Social;siconfi-cor_RREO2TotalDespesas;120819008
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;Assistência Comunitária;siconfi-cor_RREO2TotalDespesas;103733475
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;FU08 - Administração Geral;siconfi-cor_RREO2TotalDespesas;13136216
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;FU08 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;3949317
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;Previdência Social;siconfi-cor_RREO2TotalDespesas;3483296188
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;Previdência do Regime Estatutário;siconfi-cor_RREO2TotalDespesas;2570971800
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;Previdência Especial;siconfi-cor_RREO2TotalDespesas;830468287
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;FU09 - Administração Geral;siconfi-cor_RREO2TotalDespesas;81456101
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;FU09 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;400000
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;Saúde;siconfi-cor_RREO2TotalDespesas;2906517459
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;Atenção Básica;siconfi-cor_RREO2TotalDespesas;17376000
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;Assistência Hospitalar e Ambulatorial;siconfi-cor_RREO2TotalDespesas;2367520027
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;Suporte Profilático e Terapêutico;siconfi-cor_RREO2TotalDespesas;128168783
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;Vigilância Sanitária;siconfi-cor_RREO2TotalDespesas;490000
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;Vigilância Epidemiológica;siconfi-cor_RREO2TotalDespesas;14068000
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;FU10 - Administração Geral;siconfi-cor_RREO2TotalDespesas;310468785
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;FU10 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;68425864
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;Trabalho;siconfi-cor_RREO2TotalDespesas;2001916
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;Fomento ao Trabalho;siconfi-cor_RREO2TotalDespesas;1981916
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;FU11 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;20000
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;Educação;siconfi-cor_RREO2TotalDespesas;2296702252
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;Ensino Fundamental;siconfi-cor_RREO2TotalDespesas;880115715
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;Ensino Médio;siconfi-cor_RREO2TotalDespesas;807386325
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;Ensino Profissional;siconfi-cor_RREO2TotalDespesas;35541000
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;Ensino Superior;siconfi-cor_RREO2TotalDespesas;19747766
Governo do Estado do Espírito Santo;32;ES;4108508;DOTAÇÃO INICIAL;Educação Infantil;siconfi-cor_RREO2TotalDespesas;49127652
