Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado de Santa Catarina;42;SC;7252502;DOTAÇÃO INICIAL;DESPESAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I);siconfi-cor_RREO2TotalDespesas;30102693875
Governo do Estado de Santa Catarina;42;SC;7252502;DOTAÇÃO INICIAL;Legislativa;siconfi-cor_RREO2TotalDespesas;852525018
Governo do Estado de Santa Catarina;42;SC;7252502;DOTAÇÃO INICIAL;Ação Legislativa;siconfi-cor_RREO2TotalDespesas;117813172
Governo do Estado de Santa Catarina;42;SC;7252502;DOTAÇÃO INICIAL;FU01 - Administração Geral;siconfi-cor_RREO2TotalDespesas;639867280
Governo do Estado de Santa Catarina;42;SC;7252502;DOTAÇÃO INICIAL;FU01 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;94844566
Governo do Estado de Santa Catarina;42;SC;7252502;DOTAÇÃO INICIAL;Judiciária;siconfi-cor_RREO2TotalDespesas;2077770530
Governo do Estado de Santa Catarina;42;SC;7252502;DOTAÇÃO INICIAL;Ação Judiciária;siconfi-cor_RREO2TotalDespesas;138226094
Governo do Estado de Santa Catarina;42;SC;7252502;DOTAÇÃO INICIAL;FU02 - Administração Geral;siconfi-cor_RREO2TotalDespesas;1805372951
Governo do Estado de Santa Catarina;42;SC;7252502;DOTAÇÃO INICIAL;FU02 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;134171485
Governo do Estado de Santa Catarina;42;SC;7252502;DOTAÇÃO INICIAL;Essencial à Justiça;siconfi-cor_RREO2TotalDespesas;965941262
Governo do Estado de Santa Catarina;42;SC;7252502;DOTAÇÃO INICIAL;Defesa da Ordem Jurídica;siconfi-cor_RREO2TotalDespesas;605764690
Governo do Estado de Santa Catarina;42;SC;7252502;DOTAÇÃO INICIAL;Representação Judicial e Extrajudicial;siconfi-cor_RREO2TotalDespesas;72639772
Governo do Estado de Santa Catarina;42;SC;7252502;DOTAÇÃO INICIAL;FU03 - Administração Geral;siconfi-cor_RREO2TotalDespesas;217806886
Governo do Estado de Santa Catarina;42;SC;7252502;DOTAÇÃO INICIAL;FU03 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;69729914
Governo do Estado de Santa Catarina;42;SC;7252502;DOTAÇÃO INICIAL;Administração;siconfi-cor_RREO2TotalDespesas;2309971813
Governo do Estado de Santa Catarina;42;SC;7252502;DOTAÇÃO INICIAL;FU04 - Administração Geral;siconfi-cor_RREO2TotalDespesas;592134116
Governo do Estado de Santa Catarina;42;SC;7252502;DOTAÇÃO INICIAL;Administração Financeira;siconfi-cor_RREO2TotalDespesas;834053494
Governo do Estado de Santa Catarina;42;SC;7252502;DOTAÇÃO INICIAL;Controle Interno;siconfi-cor_RREO2TotalDespesas;847819
Governo do Estado de Santa Catarina;42;SC;7252502;DOTAÇÃO INICIAL;Tecnologia da Informação;siconfi-cor_RREO2TotalDespesas;55216701
Governo do Estado de Santa Catarina;42;SC;7252502;DOTAÇÃO INICIAL;Formação de Recursos Humanos;siconfi-cor_RREO2TotalDespesas;2410845
