Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;DESPESAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I);siconfi-cor_RREO2TotalDespesas;18335422656
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Legislativa;siconfi-cor_RREO2TotalDespesas;816845106,5
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Ação Legislativa;siconfi-cor_RREO2TotalDespesas;65062079,71
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Controle Externo;siconfi-cor_RREO2TotalDespesas;43101525,39
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;FU01 - Administração Geral;siconfi-cor_RREO2TotalDespesas;638613743,4
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;FU01 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;70067757,92
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Judiciária;siconfi-cor_RREO2TotalDespesas;1191729009
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;FU02 - Administração Geral;siconfi-cor_RREO2TotalDespesas;1083589452
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;FU02 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;108139556,8
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Essencial à Justiça;siconfi-cor_RREO2TotalDespesas;515988768,6
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;FU03 - Administração Geral;siconfi-cor_RREO2TotalDespesas;491688474,5
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;FU03 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;24300294,16
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Administração;siconfi-cor_RREO2TotalDespesas;1015949941
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Planejamento e Orçamento;siconfi-cor_RREO2TotalDespesas;116332,7
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;FU04 - Administração Geral;siconfi-cor_RREO2TotalDespesas;840891842,4
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Administração Financeira;siconfi-cor_RREO2TotalDespesas;12369389,57
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Controle Interno;siconfi-cor_RREO2TotalDespesas;4920000
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Normatização e Fiscalização;siconfi-cor_RREO2TotalDespesas;894200
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Tecnologia da Informação;siconfi-cor_RREO2TotalDespesas;85676435,1
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Ordenamento Territorial;siconfi-cor_RREO2TotalDespesas;18498591,9
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Formação de Recursos Humanos;siconfi-cor_RREO2TotalDespesas;4100000
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Administração de Receitas;siconfi-cor_RREO2TotalDespesas;17218000
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Comunicação Social;siconfi-cor_RREO2TotalDespesas;26450739,95
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;FU04 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;4814409,23
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Segurança Pública;siconfi-cor_RREO2TotalDespesas;2231915140
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Policiamento;siconfi-cor_RREO2TotalDespesas;53453274,88
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Defesa Civil;siconfi-cor_RREO2TotalDespesas;7475950,82
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Informação e Inteligência;siconfi-cor_RREO2TotalDespesas;8693011,12
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;FU06 - Administração Geral;siconfi-cor_RREO2TotalDespesas;2086006394
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;FU06 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;76286509,13
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Assistência Social;siconfi-cor_RREO2TotalDespesas;14028495,21
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Assistência à Criança e ao Adolescente;siconfi-cor_RREO2TotalDespesas;822249,87
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Assistência Comunitária;siconfi-cor_RREO2TotalDespesas;13129753,63
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;FU08 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;76491,71
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Previdência Social;siconfi-cor_RREO2TotalDespesas;3462348599
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Previdência do Regime Estatutário;siconfi-cor_RREO2TotalDespesas;3419997498
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;FU09 - Administração Geral;siconfi-cor_RREO2TotalDespesas;28558727,15
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;FU09 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;13792373,87
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Saúde;siconfi-cor_RREO2TotalDespesas;1837134418
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Atenção Básica;siconfi-cor_RREO2TotalDespesas;18258802,67
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Assistência Hospitalar e Ambulatorial;siconfi-cor_RREO2TotalDespesas;295993276,5
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Suporte Profilático e Terapêutico;siconfi-cor_RREO2TotalDespesas;36793576,59
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Vigilância Epidemiológica;siconfi-cor_RREO2TotalDespesas;7355049,01
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;FU10 - Administração Geral;siconfi-cor_RREO2TotalDespesas;637969247,2
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;FU10 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;840764466
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Trabalho;siconfi-cor_RREO2TotalDespesas;46438386,61
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Relações de Trabalho;siconfi-cor_RREO2TotalDespesas;2761449,21
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Empregabilidade;siconfi-cor_RREO2TotalDespesas;1412047,17
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;FU11 - Administração Geral;siconfi-cor_RREO2TotalDespesas;42027165,43
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;FU11 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;237724,8
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Educação;siconfi-cor_RREO2TotalDespesas;2696395878
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Ensino Superior;siconfi-cor_RREO2TotalDespesas;31512921,93
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Educação de Jovens e Adultos;siconfi-cor_RREO2TotalDespesas;2500000
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Educação Básica;siconfi-cor_RREO2TotalDespesas;2324848407
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;FU12 - Administração Geral;siconfi-cor_RREO2TotalDespesas;332794831,5
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;FU12 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;4739717,24
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Cultura;siconfi-cor_RREO2TotalDespesas;60387549,36
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Patrimônio Histórico Artístico e Arqueológico;siconfi-cor_RREO2TotalDespesas;5479328,48
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Difusão Cultural;siconfi-cor_RREO2TotalDespesas;31110376,01
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;FU13 - Administração Geral;siconfi-cor_RREO2TotalDespesas;23685844,87
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;FU13 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;112000
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Direitos da Cidadania;siconfi-cor_RREO2TotalDespesas;513384480,8
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Custódia e Reintegração Social;siconfi-cor_RREO2TotalDespesas;88805523,77
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Direitos Individuais Coletivos e Difusos;siconfi-cor_RREO2TotalDespesas;13813652,71
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;FU14 - Administração Geral;siconfi-cor_RREO2TotalDespesas;388260511,9
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;FU14 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;22504792,43
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Urbanismo;siconfi-cor_RREO2TotalDespesas;331164652,6
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Infra-Estrutura Urbana;siconfi-cor_RREO2TotalDespesas;254883412,9
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Serviços Urbanos;siconfi-cor_RREO2TotalDespesas;512200
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;FU15 - Administração Geral;siconfi-cor_RREO2TotalDespesas;37104907,44
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;FU15 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;38664132,24
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Habitação;siconfi-cor_RREO2TotalDespesas;16810965,39
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Habitação Rural;siconfi-cor_RREO2TotalDespesas;2531610
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Habitação Urbana;siconfi-cor_RREO2TotalDespesas;14279355,39
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Saneamento;siconfi-cor_RREO2TotalDespesas;13691810,32
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Saneamento Básico Urbano;siconfi-cor_RREO2TotalDespesas;12140529,8
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;FU17 - Administração Geral;siconfi-cor_RREO2TotalDespesas;1551280,52
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Gestão Ambiental;siconfi-cor_RREO2TotalDespesas;136135625,1
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Preservação e Conservação Ambiental;siconfi-cor_RREO2TotalDespesas;18944069,53
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Controle Ambiental;siconfi-cor_RREO2TotalDespesas;9273195,29
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Recuperação de Áreas Degradadas;siconfi-cor_RREO2TotalDespesas;18010
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Recursos Hídricos;siconfi-cor_RREO2TotalDespesas;1517380
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;FU18 - Administração Geral;siconfi-cor_RREO2TotalDespesas;100598561,9
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;FU18 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;5784408,31
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Ciência e Tecnologia;siconfi-cor_RREO2TotalDespesas;83382220,16
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Difusão do Conhecimento Científico e Tecnológico;siconfi-cor_RREO2TotalDespesas;33458141,15
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;FU19 - Administração Geral;siconfi-cor_RREO2TotalDespesas;34189363,97
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;FU19 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;15734715,04
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Agricultura;siconfi-cor_RREO2TotalDespesas;325178336,2
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Abastecimento;siconfi-cor_RREO2TotalDespesas;449620,51
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Extensão Rural;siconfi-cor_RREO2TotalDespesas;7178031,14
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Promoção da Produção Agropecuária;siconfi-cor_RREO2TotalDespesas;18036552,03
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Defesa Agropecuária;siconfi-cor_RREO2TotalDespesas;4704988,38
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;FU20 - Administração Geral;siconfi-cor_RREO2TotalDespesas;288485790,7
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;FU20 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;6323353,45
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Organização Agrária;siconfi-cor_RREO2TotalDespesas;13279676,34
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;FU21 - Administração Geral;siconfi-cor_RREO2TotalDespesas;11173370
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;FU21 - Demais Subfunções;siconfi-cor_RREO2TotalDespesas;2106306,34
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Indústria;siconfi-cor_RREO2TotalDespesas;59540071,51
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Promoção Industrial;siconfi-cor_RREO2TotalDespesas;13158491,58
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Produção Industrial;siconfi-cor_RREO2TotalDespesas;300000
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;Mineração;siconfi-cor_RREO2TotalDespesas;7614544,97
Governo do Estado do Mato Grosso;51;MT;3305531;DOTAÇÃO INICIAL;FU22 - Administração Geral;siconfi-cor_RREO2TotalDespesas;35276715,03
