"exercicio";"uf";"origem";"valor_nominal_final";"valor_real_final"
"2021";"SC";"Recurso Próprio (Estadual)";"69045947,76";"82366078,2576888055"
"2021";"SE";"Recurso Próprio (Estadual)";"49781847,70";"59385607,6496059000"
"2021";"SP";"Recurso Próprio (Estadual)";"1153039802,88";"1375480672,2091717720"
"2021";"TO";"Recurso Próprio (Estadual)";"6392440,63";"7625650,4873879878"
"2022";"AC";"Recurso Próprio (Estadual)";"29376650,59";"32068011,9740499929"
"2022";"AL";"Recurso Próprio (Estadual)";"126783829,05";"138399213,8802678585"
"2022";"AM";"Recurso Próprio (Estadual)";"341623449,42";"372921508,9737302065"
"2022";"AP";"Recurso Próprio (Estadual)";"34589821,92";"37758791,4630541578"
"2022";"BA";"Recurso Próprio (Estadual)";"206594222,41";"225521489,5148271918"
"2022";"BA";"Emendas Parlamentares (Cultura)";"2468046,70";"2694158,4400726799"
"2022";"CE";"Recurso Próprio (Estadual)";"322433763,50";"351973747,2139094472"
"2022";"DF";"Recurso Próprio (Estadual)";"313880367,30";"342636725,9316477776"
"2022";"DF";"Emendas Parlamentares (Cultura)";"1030604,80";"1125024,3442716931"
"2022";"ES";"Recurso Próprio (Estadual)";"57190462,07";"62430004,2934953198"
"2022";"ES";"Emendas Parlamentares (Cultura)";"459665,34";"501777,8858762591"
"2022";"GO";"Recurso Próprio (Estadual)";"46295069,10";"50536422,6493416503"
"2022";"MA";"Recurso Próprio (Estadual)";"123597122,01";"134920554,5551201701"
"2022";"MG";"Recurso Próprio (Estadual)";"129753385,74";"141640828,4816600382"
"2022";"MS";"Recurso Próprio (Estadual)";"167739658,67";"183107239,0731873214"
"2022";"MT";"Recurso Próprio (Estadual)";"160581697,21";"175293496,2128216624"
"2022";"PA";"Recurso Próprio (Estadual)";"359638902,97";"392587460,2839180827"
"2022";"PB";"Recurso Próprio (Estadual)";"22828621,23";"24920080,5487298369"
"2022";"PE";"Recurso Próprio (Estadual)";"324419386,23";"354141284,0910802484"
"2022";"PI";"Recurso Próprio (Estadual)";"47510728,50";"51863455,4938837290"
"2022";"PR";"Recurso Próprio (Estadual)";"116668486,50";"127357147,4942028075"
"2022";"RJ";"Recurso Próprio (Estadual)";"187655352,87";"204847522,8444937766"
"2022";"RN";"Recurso Próprio (Estadual)";"36658695,04";"40017205,7700798362"
"2022";"RO";"Recurso Próprio (Estadual)";"11709397,48";"12782161,7187826186"
"2022";"RS";"Recurso Próprio (Estadual)";"115436082,49";"126011835,9710776955"
"2022";"SC";"Recurso Próprio (Estadual)";"75466381,57";"82380284,3149446249"
"2022";"SE";"Recurso Próprio (Estadual)";"69605706,34";"75982679,4254466295"
"2022";"SP";"Recurso Próprio (Estadual)";"1176848490,48";"1284666247,7308409214"
"2022";"TO";"Recurso Próprio (Estadual)";"38631200,34";"42170423,4551759437"
"2023";"AC";"Recurso Próprio (Estadual)";"31200098,63";"32562737,3409597501"
"2023";"AC";"Lei Paulo Gustavo (LPG)";"166034,75";"173286,1814905717"
"2023";"AL";"Recurso Próprio (Estadual)";"43196146,54";"45082702,8018157035"
"2023";"AL";"Lei Paulo Gustavo (LPG)";"44664225,88";"46614899,3025711104"
"2023";"AM";"Recurso Próprio (Estadual)";"417648692,71";"435889156,7231863141"
"2023";"AM";"Emendas Parlamentares (Cultura)";"449000,00";"468609,7066383193"
"2023";"AM";"Lei Paulo Gustavo (LPG)";"48300373,00";"50409852,1649251655"
"2023";"AP";"Recurso Próprio (Estadual)";"43966248,99";"45886438,8445238322"
"2023";"AP";"Lei Paulo Gustavo (LPG)";"1100000,00";"1148041,5975549025"
"2023";"BA";"Recurso Próprio (Estadual)";"226030140,01";"235901820,9387624562"
"2023";"BA";"Emendas Parlamentares (Cultura)";"1259526,02";"1314534,7856025163"
"2023";"BA";"Lei Paulo Gustavo (LPG)";"5440260,20";"5677859,1010203212"
"2023";"CE";"Recurso Próprio (Estadual)";"203240085,06";"212116429,0358878672"
"2023";"CE";"Lei Paulo Gustavo (LPG)";"4228218,91";"4412882,9020438623"
"2023";"DF";"Recurso Próprio (Estadual)";"399342492,72";"416783448,4671143889"
"2023";"DF";"Emendas Parlamentares (Cultura)";"1218483,50";"1271699,7672129900"
"2023";"DF";"Lei Paulo Gustavo (LPG)";"4812074,86";"5022238,2816619854"
"2023";"ES";"Recurso Próprio (Estadual)";"74373599,50";"77621805,4417168200"
"2023";"ES";"Lei Paulo Gustavo (LPG)";"29624000,00";"30917803,8963331208"
"2023";"GO";"Recurso Próprio (Estadual)";"78371424,86";"81794232,5444803685"
"2023";"GO";"Lei Paulo Gustavo (LPG)";"62868426,64";"65614153,5959534496"
"2023";"MA";"Recurso Próprio (Estadual)";"142210054,09";"148420961,5325933695"
"2023";"MG";"Recurso Próprio (Estadual)";"136299855,24";"142252639,5965741277"
"2023";"MG";"Emendas Parlamentares (Cultura)";"162920,00";"170035,3973396770"
"2023";"MG";"Lei Paulo Gustavo (LPG)";"750000,00";"782755,6346965245"
"2023";"MS";"Recurso Próprio (Estadual)";"94397234,27";"98519956,0328138024"
"2023";"MS";"Emendas Parlamentares (Cultura)";"56000,00";"58445,7540573405"
"2023";"MS";"Lei Paulo Gustavo (LPG)";"508650,00";"530864,8714511829"
"2023";"MT";"Recurso Próprio (Estadual)";"162705387,69";"169811412,0131067038"
"2023";"PA";"Recurso Próprio (Estadual)";"444518547,25";"463932530,1160676479"
"2023";"PB";"Recurso Próprio (Estadual)";"35083869,13";"36616128,3312839344"
"2023";"PB";"Emendas Parlamentares (Cultura)";"449346,00";"468970,8179044593"
"2023";"PB";"Lei Paulo Gustavo (LPG)";"43377932,63";"45272428,2501583025"
"2023";"PE";"Recurso Próprio (Estadual)";"254345117,90";"265453432,2583691180"
"2023";"PE";"Lei Paulo Gustavo (LPG)";"2598990,20";"2712498,9647613959"
"2023";"PI";"Recurso Próprio (Estadual)";"55257761,96";"57671099,3798790202"
"2023";"PI";"Emendas Parlamentares (Cultura)";"100000,00";"104367,4179595366"
"2023";"PI";"Lei Paulo Gustavo (LPG)";"767000,00";"800498,0957496457"
"2023";"PR";"Recurso Próprio (Estadual)";"110454494,87";"115278504,3160677999"
"2023";"PR";"Emendas Parlamentares (Cultura)";"13620,00";"14214,8423260889"
"2023";"PR";"Lei Paulo Gustavo (LPG)";"7431449,60";"7756012,0644843103"
"2023";"RJ";"Recurso Próprio (Estadual)";"372546752,59";"388817426,3702860475"
"2023";"RN";"Recurso Próprio (Estadual)";"36514651,03";"38109398,4569463357"
"2023";"RN";"Lei Paulo Gustavo (LPG)";"37505324,23";"39143338,4962034523"
"2023";"RO";"Recurso Próprio (Estadual)";"27636051,34";"28843033,2095299140"
"2023";"RO";"Lei Paulo Gustavo (LPG)";"1100000,00";"1148041,5975549025"
"2023";"RR";"Recurso Próprio (Estadual)";"36453282,18";"38045349,3727698699"
"2023";"RR";"Lei Paulo Gustavo (LPG)";"850058,87";"887184,4937550138"
"2023";"RS";"Recurso Próprio (Estadual)";"117182037,15";"122299866,4858399332"
"2023";"RS";"Lei Paulo Gustavo (LPG)";"3259205,00";"3401548,1045081145"
