"cod_municipio","municipio","ano","tipo_orgao_gestor","tem_plano","tem_conselho","tem_fundo","tem_lei_patrimonio","tem_cons_patrimonio","equip_biblioteca","equip_museu","equip_teatro","equip_cinema","gestor_sexo","gestor_idade","gestor_cor_raca","gestor_escolaridade","gestor_escolaridade_agrupada","orcamento_perc_executado"
"2516904","Uiraúna",2021,"Secretaria em conjunto com outras políticas setoriais","Sim","Sim","Sim","Sim","Não","Sim","Sim","Não","Não","Feminino","61","Branca","Especialização","Ensino Médio a Pós-graduação lato sensu","Até 10%"
"2517001","Umbuzeiro",2006,"Secretaria municipal em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Sim","Não","Não",NA,NA,NA,"Pós-graduação","Ensino Médio a Pós-graduação lato sensu",NA
"2517001","Umbuzeiro",2014,"Secretaria em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Não","Sim","Não","Masculino","28",NA,"Pós-graduação","Ensino Médio a Pós-graduação lato sensu",NA
"2517001","Umbuzeiro",2018,"Secretaria exclusiva","Não","Não","Não","Não","Não","Sim","Sim","Não","Não","Feminino","22","Preta","Ensino superior completo","Ensino Médio a Pós-graduação lato sensu",NA
"2517001","Umbuzeiro",2021,"Secretaria exclusiva","Não","Não","Não","Não","Não","Sim","Sim","Sim","Não","Feminino","26","Parda","Mestrado","Mestrado e doutorado","11% a 20%"
"2517100","Várzea",2006,"Secretaria municipal em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Não","Não","Não",NA,NA,NA,"Pós-graduação","Ensino Médio a Pós-graduação lato sensu",NA
"2517100","Várzea",2014,"Secretaria em conjunto com outras políticas","Não","Sim","Sim","Não","Não","Sim","Não","Não","Não","Masculino","22",NA,"Ensino médio completo","Ensino Médio a Pós-graduação lato sensu",NA
"2517100","Várzea",2018,"Secretaria exclusiva","Sim","Sim","Sim","Não","Não","Não","Não","Não","Sim","Masculino","27","Parda","Ensino superior incompleto","Ensino Médio a Pós-graduação lato sensu",NA
"2517100","Várzea",2021,"Secretaria em conjunto com outras políticas setoriais","Não","Sim","Não","Não","Não","Sim","Não","Não","Não","Masculino","30","Parda","Ensino superior incompleto","Ensino Médio a Pós-graduação lato sensu","Sem Informação"
"2517209","Vieirópolis",2006,"Secretaria municipal em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Sim","Não","Não",NA,NA,NA,"Pós-graduação","Ensino Médio a Pós-graduação lato sensu",NA
"2517209","Vieirópolis",2014,"Secretaria exclusiva","Não","Sim","Sim","Não","Não","Sim","Sim","Sim","Não","Masculino","45",NA,"Ensino médio completo","Ensino Médio a Pós-graduação lato sensu",NA
"2517209","Vieirópolis",2018,"Secretaria exclusiva","Não","Sim","Sim","Não","Não","-","-","-","-","Feminino","53","Branca","Ensino médio (2º Grau) completo","Ensino Médio a Pós-graduação lato sensu",NA
"2517209","Vieirópolis",2021,"Secretaria exclusiva","Não","Sim","Não","Não","Não","Sim","Não","Não","Não","Masculino","46","Branca","Ensino fundamental (1º Grau) incompleto","Ensino Médio a Pós-graduação lato sensu","Sem Informação"
"2517407","Zabelê",2006,"Secretaria municipal em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Não","Sim","Não",NA,NA,NA,"Pós-graduação","Ensino Médio a Pós-graduação lato sensu",NA
"2517407","Zabelê",2014,"Secretaria em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Masculino","42",NA,"Pós-graduação","Ensino Médio a Pós-graduação lato sensu",NA
"2517407","Zabelê",2018,"Secretaria em conjunto com outras políticas setoriais","Não","Sim","Sim","Não","Não","Sim","Não","Não","Não","Feminino","42","Branca","Ensino superior completo","Ensino Médio a Pós-graduação lato sensu",NA
