"cod_uf","sigla_uf","nome_uf","regiao","ano","tipo_orgao_gestor","tem_plano","tem_conselho","tem_fundo","tem_lei_patrimonio","tem_cons_patrimonio","tem_lei_incentivo","gestor_sexo","gestor_cor_raca","gestor_escolaridade","cons_paritario","cons_competencia","pi_arte_cultura","pm_parceria_cultura","ir_gt_cultura","ir_patrimonio_afro","ir_patrimonio_quilombola","gestor_escolaridade_agrupada"
"52","GO","Goiás","Centro-Oeste",2014,"Secretaria Exclusiva / Fundação","Não","Não","Sim","Sim",NA,NA,"Masculino",NA,"Pós-graduação",NA,NA,NA,NA,NA,NA,NA,"Pós-Graduação"
"52","GO","Goiás","Centro-Oeste",2018,"Secretaria Conjunta","Sim","Sim","Sim","Sim","Não","Não","Masculino","Pardo","Mestrado","Paritário","Deliberativo",NA,NA,NA,NA,NA,"Pós-Graduação"
"52","GO","Goiás","Centro-Oeste",2021,"Secretaria Exclusiva / Fundação","Não","Sim","Sim","Sim","Não","Não","Masculino","Branca","Ensino superior completo","Paritário","Consultivo",NA,NA,NA,NA,NA,"Ensino Superior"
"52","GO","Goiás","Centro-Oeste",2023,"Setor Subordinado / Outros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sim","Sim",NA,NA,NA,"Sem Informação"
"52","GO","Goiás","Centro-Oeste",2024,"Setor Subordinado / Outros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sim","Sim","Sim","Sem Informação"
"53","DF","Distrito Federal","Centro-Oeste",2012,"Setor Subordinado / Outros",NA,"Sim","Sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sem Informação"
"53","DF","Distrito Federal","Centro-Oeste",2014,"Secretaria Exclusiva / Fundação","Não","Não","Sim","Sim",NA,NA,"Masculino",NA,"Ensino médio completo",NA,NA,NA,NA,NA,NA,NA,"Ensino Médio"
"53","DF","Distrito Federal","Centro-Oeste",2018,"Secretaria Exclusiva / Fundação","Sim","Sim","Sim","Sim","Sim","Não","Masculino","Branca","Ensino médio (2º Grau) completo","Paritário","Deliberativo",NA,NA,NA,NA,NA,"Ensino Médio"
"53","DF","Distrito Federal","Centro-Oeste",2021,"Secretaria Exclusiva / Fundação","Sim","Sim","Sim","Sim","Sim","Sim","Masculino","Branca","Ensino superior completo","Paritário","Deliberativo",NA,NA,NA,NA,NA,"Ensino Superior"
"53","DF","Distrito Federal","Centro-Oeste",2023,"Setor Subordinado / Outros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sim","Sim",NA,NA,NA,"Sem Informação"
"53","DF","Distrito Federal","Centro-Oeste",2024,"Setor Subordinado / Outros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sim","Sim","Sim","Sem Informação"
