"cod_municipio","municipio","cod_uf","uf","regiao","ano","populacao","tipo_orgao_gestor","tem_plano","tem_conselho","tem_fundo","tem_lei_patrimonio","tem_cons_patrimonio","equip_biblioteca","equip_museu","equip_teatro","equip_cinema","gestor_sexo","gestor_idade","gestor_cor_raca","gestor_escolaridade","gestor_idade_num","gestor_faixa_etaria","gestor_cor_raca_limpa","gestor_grupo_raca","gestor_escolaridade_agrupada","plano_tem_lei","plano_participacao_soc","sec_educacao","sec_esporte","sec_turismo","cons_qtd_membros","cons_cap_continuada","cons_cap_eventual","cons_cap_nao_realiza","orcamento_perc_executado"
"2507903","Juripiranga","25","PB","Nordeste",2006,NA,"Secretaria municipal em conjunto com outras políticas","Não","Não","Não","Não","Não","Não","Não","Não","Não",NA,NA,NA,"Ensino superior completo",NA,NA,NA,NA,"Ensino Superior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2507903","Juripiranga","25","PB","Nordeste",2014,NA,"Secretaria em conjunto com outras políticas","Sim","Sim","Sim","Não","Não","Sim","Não","Não","Não","Masculino","37",NA,"Ensino médio completo",37,"30 a 39 anos",NA,NA,"Ensino Médio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2507903","Juripiranga","25","PB","Nordeste",2018,NA,"Secretaria em conjunto com outras políticas setoriais","Sim","Sim","Sim","Sim","Não","Não","Não","Não","Sim","Masculino","41","Preta","Ensino médio (2º Grau) completo",41,"40 a 49 anos","Preta","Negros (Pretos e Pardos)","Ensino Médio","Sim","Sim","Não","Não","Não",16,"Não","Sim","Não",NA
"2507903","Juripiranga","25","PB","Nordeste",2021,10830,"Secretaria em conjunto com outras políticas setoriais","Sim","Sim","Sim","Sim","Sim","Sim","Não","Não","Não","Masculino","32","Branca","Ensino superior incompleto",32,"30 a 39 anos","Branca","Brancos","Ensino Superior","Sim","Sim","Não","Sim","Não",16,"Não","Não","Sim","Mais de 90%"
"2508000","Juru","25","PB","Nordeste",2006,NA,"Secretaria municipal em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Não","Não","Não",NA,NA,NA,"Ensino superior incompleto",NA,NA,NA,NA,"Ensino Superior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2508000","Juru","25","PB","Nordeste",2014,NA,"Secretaria exclusiva","Não","Não","Não","Sim","Não","Sim","Não","Não","Não","Masculino","28",NA,"Ensino superior incompleto",28,"Até 29 anos",NA,NA,"Ensino Superior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2508000","Juru","25","PB","Nordeste",2018,NA,"Secretaria exclusiva","Não","Não","Sim","Sim","Não","Não","Não","Não","Não","Masculino","33","Parda","Ensino médio (2º Grau) completo",33,"30 a 39 anos","Parda","Negros (Pretos e Pardos)","Ensino Médio","Não","Não","Não","Não","Não",NA,"Não","Não","Não",NA
"2508000","Juru","25","PB","Nordeste",2021,9831,"Secretaria exclusiva","Não","Sim","Sim","Sim","Não","Não","Não","Não","Não","Masculino","36","Parda","Ensino médio (2º Grau) completo",36,"30 a 39 anos","Parda","Negros (Pretos e Pardos)","Ensino Médio","Não","Não","Não","Não","Não",5,"Não","Não","Sim","61% a 70%"
"2508109","Lagoa","25","PB","Nordeste",2006,NA,"Secretaria municipal em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Não","Não","Não",NA,NA,NA,"Ensino médio (2º Grau) completo",NA,NA,NA,NA,"Ensino Médio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2508109","Lagoa","25","PB","Nordeste",2014,NA,"Secretaria exclusiva","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Masculino","55",NA,"Ensino médio completo",55,"50 a 59 anos",NA,NA,"Ensino Médio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2508109","Lagoa","25","PB","Nordeste",2018,NA,"Secretaria exclusiva","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Masculino","28","Branca","Ensino médio (2º Grau) completo",28,"Até 29 anos","Branca","Brancos","Ensino Médio","Não","Não","Não","Não","Não",NA,"Não","Não","Não",NA
